Small Bright Trough,1304,310,104,88,WSe2_1 to 100 ratio_SL300_No Wool_200901_1V_250x250_20_1_Z.jpg,2050,2050
Small Bright Trough,1404,1485,108,92,WSe2_1 to 100 ratio_SL300_No Wool_200901_1V_250x250_20_1_Z.jpg,2050,2050
Small Bright Peak,1604,923,75,92,WSe2_1 to 100 ratio_SL300_No Wool_200901_1V_250x250_20_1_Z.jpg,2050,2050
Small Bright Peak,1679,581,67,88,WSe2_1 to 100 ratio_SL300_No Wool_200901_1V_250x250_20_1_Z.jpg,2050,2050
Small Bright Peak,1758,277,96,108,WSe2_1 to 100 ratio_SL300_No Wool_200901_1V_250x250_20_1_Z.jpg,2050,2050
Small Bright Peak,892,831,58,92,WSe2_1 to 100 ratio_SL300_No Wool_200901_1V_250x250_20_1_Z.jpg,2050,2050
Small Bright Peak,688,1606,75,75,WSe2_1 to 100 ratio_SL300_No Wool_200901_1V_250x250_20_1_Z.jpg,2050,2050
Small Bright Peak,1096,1710,71,75,WSe2_1 to 100 ratio_SL300_No Wool_200901_1V_250x250_20_1_Z.jpg,2050,2050
Small Bright Peak,233,1398,75,33,WSe2_1 to 100 ratio_SL300_No Wool_200901_1V_250x250_20_1_Z.jpg,2050,2050
Small Bright Peak,163,1369,88,79,WSe2_1 to 100 ratio_SL300_No Wool_200901_1V_250x250_20_1_Z.jpg,2050,2050
Small Bright Peak,29,335,75,63,WSe2_1 to 100 ratio_SL300_No Wool_200901_1V_250x250_20_1_Z.jpg,2050,2050
Small Bright Trough,394,100,15,14,WSe2_1 to 100 ratio_SL300_No Wool_200901_1V_500x500_16_3_Z.jpg,514,514
Small Bright Trough,406,244,16,17,WSe2_1 to 100 ratio_SL300_No Wool_200901_1V_500x500_16_3_Z.jpg,514,514
Small Bright Trough,354,389,15,13,WSe2_1 to 100 ratio_SL300_No Wool_200901_1V_500x500_16_3_Z.jpg,514,514
Small Bright Trough,287,436,10,13,WSe2_1 to 100 ratio_SL300_No Wool_200901_1V_500x500_16_3_Z.jpg,514,514
Small Bright Trough,182,458,15,14,WSe2_1 to 100 ratio_SL300_No Wool_200901_1V_500x500_16_3_Z.jpg,514,514
Small Bright Trough,181,332,14,11,WSe2_1 to 100 ratio_SL300_No Wool_200901_1V_500x500_16_3_Z.jpg,514,514
Small Bright Trough,37,205,17,11,WSe2_1 to 100 ratio_SL300_No Wool_200901_1V_500x500_16_3_Z.jpg,514,514
Small Bright Trough,223,103,11,9,WSe2_1 to 100 ratio_SL300_No Wool_200901_1V_500x500_16_3_Z.jpg,514,514
Small Bright Peak,341,167,13,17,WSe2_1 to 100 ratio_SL300_No Wool_200901_1V_500x500_16_3_Z.jpg,514,514
Small Bright Peak,427,177,17,15,WSe2_1 to 100 ratio_SL300_No Wool_200901_1V_500x500_16_3_Z.jpg,514,514
Small Bright Peak,440,135,13,13,WSe2_1 to 100 ratio_SL300_No Wool_200901_1V_500x500_16_3_Z.jpg,514,514
Small Bright Peak,463,38,13,14,WSe2_1 to 100 ratio_SL300_No Wool_200901_1V_500x500_16_3_Z.jpg,514,514
Small Bright Peak,446,99,18,14,WSe2_1 to 100 ratio_SL300_No Wool_200901_1V_500x500_16_3_Z.jpg,514,514
Small Bright Peak,466,98,20,18,WSe2_1 to 100 ratio_SL300_No Wool_200901_1V_500x500_16_3_Z.jpg,514,514
Small Bright Peak,387,54,18,18,WSe2_1 to 100 ratio_SL300_No Wool_200901_1V_500x500_16_3_Z.jpg,514,514
Small Bright Peak,349,41,16,15,WSe2_1 to 100 ratio_SL300_No Wool_200901_1V_500x500_16_3_Z.jpg,514,514
Small Bright Peak,242,104,13,10,WSe2_1 to 100 ratio_SL300_No Wool_200901_1V_500x500_16_3_Z.jpg,514,514
Small Bright Peak,226,123,16,15,WSe2_1 to 100 ratio_SL300_No Wool_200901_1V_500x500_16_3_Z.jpg,514,514
